"EmployeeNumber","Surname","GivenName","Gender","City","JobTitle","DepartmentName","StoreLocation","Division","Age","LengthService","AbsentHours","BusinessUnit","AbsenceRate"
17,"Vivanco","Anne","F","Vancouver","Accounting Clerk","Accounting","Vancouver","FinanceAndAccounting",49.6213,10.940272,0,"HeadOffice",3.89598902
18,"Craig","Bobbie","F","West Vancouver","Baker","Bakery","West Vancouver","Stores",42.85581217,3.559053659,55.09983109,"Stores",3.192010103
19,"Jones","Ilona","F","New Westminster","Baker","Bakery","New Westminster","Stores",52.00873723,6.30277286,81.59554037,"Stores",4.79731551
20,"Watkins","Jan","F","Vancouver","Accounting Clerk","Accounting","Vancouver","FinanceAndAccounting",37.91041,12.22628,94.66856131,"HeadOffice",1.409632413
21,"Callaway","Jesus","M","Burnaby","Baker","Bakery","Burnaby","Stores",58.90324297,4.300303735,108.3801763,"Stores",6.373370751
22,"Hammett","Josephine","F","New Westminster","Baker","Bakery","New Westminster","Stores",25.47030259,4.147510228,0,"Stores",-0.380069405
23,"Jarman","Sandra","F","Vancouver","Accounting Clerk","Accounting","Vancouver","FinanceAndAccounting",50.51672,7.5335,67.74078948,"HeadOffice",4.38436096
24,"Butler","Jennifer","F","Victoria","Baker","Bakery","Victoria","Stores",61.5955091,5.465036581,158.7045089,"Stores",6.813313219
25,"Simons","Larry","M","Nanaimo","Baker","Bakery","Nanaimo","Stores",36.80466401,5.626920266,0,"Stores",1.780764479
26,"Mason","Penny","F","Aldergrove","Baker","Bakery","Aldergrove","Stores",36.87338778,4.101925634,48.0170507,"Stores",1.932156837
27,"Burton","Theodore","M","Kelowna","Baker","Bakery","Kelowna","Stores",42.93560641,5.557230329,42.78802656,"Stores",3.028021033
28,"Hunt","Joseph","M","Trail","Baker","Bakery","Trail","Stores",36.49790596,6.174673648,34.52427221,"Stores",1.66929183
29,"Loiselle","Thomas","M","Vancouver","Accounting Clerk","Accounting","Vancouver","FinanceAndAccounting",41.02887,13.185467,59.88316464,"HeadOffice",1.954371907
30,"Nguyen","William","M","Aldergrove","Baker","Bakery","Aldergrove","Stores",50.75658466,5.313617694,100.6740987,"Stores",4.633039985
31,"Schrupp","James","M","Penticton","Baker","Bakery","Kelowna","Stores",39.11173232,4.493533521,9.522523814,"Stores",2.349919353
32,"Donaldson","Adriana","F","Vancouver","Accounting Clerk","Accounting","Vancouver","FinanceAndAccounting",43.8715,20.006436,38.88332344,"HeadOffice",1.914826709
33,"Thompson","Felipe","M","Duncan","Baker","Bakery","Quesnel","Stores",50.94274462,6.775266268,129.8357633,"Stores",4.538949846
35,"Ashley","Emma","F","Crawford Bay","Baker","Bakery","Cranbrook","Stores",24.74733283,3.992041355,0,"Stores",-0.512390982
36,"Davis","Jeffery","M","Vancouver","Accounting Clerk","Accounting","Vancouver","FinanceAndAccounting",37.196064,19.196064,0,"HeadOffice",0.636697999
37,"Farris","Augustina","F","Courtenay","Baker","Bakery","Nanaimo","Stores",52.56495808,5.641869886,75.25704812,"Stores",4.969483026
38,"Colman","Katherine","F","Port Hardy","Baker","Bakery","Nanaimo","Stores",41.41201341,7.192268184,58.97153025,"Stores",2.572225614
39,"Martin","Daniel","M","Kelowna","Baker","Bakery","Kelowna","Stores",53.44651862,5.29126449,134.6683839,"Stores",5.179529007
40,"Atencio","Morris","M","Logan Lake","Baker","Bakery","Kamloops","Stores",21.02556154,5.483391669,0,"Stores",-1.400169408
41,"Harrod","Gloria","F","Abbotsford","Baker","Bakery","Abbotsford","Stores",45.60660014,5.862142071,78.34173929,"Stores",3.541172625
43,"Kelley","Virginia","F","Burnaby","Baker","Bakery","Burnaby","Stores",42.25328235,3.018782807,56.21994065,"Stores",3.118757774
44,"Turner","Stephen","M","Surrey","Baker","Bakery","Surrey","Stores",63.05182058,6.473604647,152.6467667,"Stores",7.017162756
45,"Mortimer","Cecilia","F","Victoria","Baker","Bakery","Victoria","Stores",29.07544199,6.776657666,0,"Stores",0.112628763
46,"Stutts","Belle","F","Surrey","Baker","Bakery","Surrey","Stores",50.90577748,6.357402979,80.24254043,"Stores",4.569138631
47,"Bryant","John","M","Vancouver","Accounting Clerk","Accounting","Vancouver","FinanceAndAccounting",51.07982,2,78.7532824,"HeadOffice",4.997197033
48,"Nolan","John","M","Squamish","Baker","Bakery","Squamish","Stores",34.80945018,6.654808747,0,"Stores",1.284243486
49,"Allison","Connie","F","Good Hope Lake","Baker","Bakery","Terrace","Stores",52.60595642,4.9855896,88.91127783,"Stores",5.036946784
50,"McAllister","Greg","M","Vancouver","Accounting Clerk","Accounting","Vancouver","FinanceAndAccounting",39.678832,21.678832,21.38553248,"HeadOffice",0.915411631
51,"Murry","Adam","M","Burnaby","Baker","Bakery","Burnaby","Stores",31.29765034,8.560140987,3.737100223,"Stores",0.401644267
52,"Price","David","M","Penticton","Baker","Bakery","Kelowna","Stores",44.68608721,1.385746182,38.06658377,"Stores",3.758407802
53,"McCoy","Corey","M","New Westminster","Baker","Bakery","New Westminster","Stores",51.04741662,6.702536846,116.2269635,"Stores",4.566693402
54,"Baker","Linda","F","Nanaimo","Baker","Bakery","Nanaimo","Stores",35.68894529,5.721105791,0,"Stores",1.546439023
55,"Shultz","Charles","M","Abbotsford","Baker","Bakery","Abbotsford","Stores",30.32983419,4.28103742,0,"Stores",0.591518355
56,"Medina","Bonita","F","Sidney","Baker","Bakery","Victoria","Stores",51.01054543,4.653801673,77.13030678,"Stores",4.743928564
57,"Houston","Harold","M","Coquitlam","Baker","Bakery","Nanaimo","Stores",25.50853,5.796216863,0,"Stores",-0.520966533
58,"Mejia","James","M","Chilliwack","Baker","Bakery","Chilliwack","Stores",43.62840469,5.124606978,24.79287091,"Stores",3.207253457
59,"Bates","Charles","M","Okanagan Mission","Baker","Bakery","Kelowna","Stores",55.04930086,5.060790515,121.4480075,"Stores",5.524728494
60,"Ross","Robert","M","New Westminster","Baker","Bakery","New Westminster","Stores",44.91047001,5.197598793,59.7836809,"Stores",3.460177961
61,"Heller","Joseph","M","Ganges","Baker","Bakery","Victoria","Stores",43.59140213,6.101161761,55.62426288,"Stores",3.111724988
62,"Murray","Faye","F","Vancouver","Accounts Payable Clerk","Accounts Payable","Vancouver","FinanceAndAccounting",56.76305,11.623616,0,"HeadOffice",5.279956966
63,"Allen","Michelle","F","Prince George","Baker","Bakery","Prince George","Stores",32.16665889,1.775517909,0,"Stores",1.189191481
64,"Jones","Harvey","M","Atlin","Baker","Bakery","Terrace","Stores",44.26243975,6.843569409,55.05895104,"Stores",3.18062098
65,"Nystrom","Jane","F","Kamloops","Baker","Bakery","Kamloops","Stores",36.61924833,4.679095448,44.6346054,"Stores",1.828682842
66,"Albright","Paul","M","Whistler","Baker","Bakery","Squamish","Stores",40.26200269,6.748053523,42.45739254,"Stores",2.379497109
67,"Lovely","Janet","F","Surrey","Baker","Bakery","Surrey","Stores",23.5364126,6.897640636,0,"Stores",-1.019441922
68,"Strayhorn","Billie","F","Vancouver","Accounts Payable Clerk","Accounts Payable","Vancouver","FinanceAndAccounting",40.73937,12.885504,0,"HeadOffice",1.922816123
69,"Jones","Tammy","F","Spences Bridge","Baker","Bakery","Kamloops","Stores",47.94959435,3.024655355,107.7955005,"Stores",4.271227958
70,"Gay","Donald","M","Vancouver","Accounts Payable Clerk","Accounts Payable","Vancouver","FinanceAndAccounting",45.10973,13.305714,78.84098352,"HeadOffice",2.769544745
71,"Green","Earnest","M","New Westminister","Baker","Bakery","New Westminister","Stores",53.78875734,5.589520028,110.1543068,"Stores",5.221913652
72,"Riley","Wendy","F","Gibsons","Baker","Bakery","West Vancouver","Stores",36.63044266,4.947661015,33.93440994,"Stores",1.806736884
73,"Malizia","Randall","M","Vernon","Baker","Bakery","Vernon","Stores",43.4342557,4.387128544,28.60483097,"Stores",3.234440874
74,"Lopez","Florence","F","Burnaby","Baker","Bakery","Burnaby","Stores",41.96753752,4.285283682,44.9874293,"Stores",2.94674166
75,"Howell","Carol","F","Fauquier","Baker","Bakery","Trail","Stores",47.77086356,2.991692074,126.5011301,"Stores",4.238022491
76,"Chico","Joyce","F","Victoria","Baker","Bakery","Victoria","Stores",46.3008103,6.567973876,19.6191458,"Stores",3.618056407
77,"White","Anthony","M","Kamloops","Baker","Bakery","Kamloops","Stores",39.29655279,7.095617444,0,"Stores",2.152745144
78,"Smith","Danny","M","Vancouver","Accounts Payable Clerk","Accounts Payable","Vancouver","FinanceAndAccounting",36.4939,9.348239,44.97411152,"HeadOffice",1.38237656
79,"Porter","Ana","F","Mackenzie","Baker","Bakery","Prince George","Stores",42.66134173,5.711743887,45.95478779,"Stores",2.958576919
80,"Depaz","Shari","F","New Westminster","Baker","Bakery","New Westminster","Stores",44.5118766,2.778630937,83.3173005,"Stores",3.597573702
81,"Witkowski","Alice","F","Squamish","Baker","Bakery","Squamish","Stores",55.00481868,3.870591513,136.3424045,"Stores",5.623024038
82,"Alvarez","Kenneth","M","Nanaimo","Baker","Bakery","Nanaimo","Stores",47.22423463,5.416249838,53.3120259,"Stores",3.908798844
83,"Morales","Soledad","F","Gold Bridge","Baker","Bakery","Kamloops","Stores",48.65733071,5.252453434,96.6132406,"Stores",4.213640743
84,"Burden","Alexis","F","Penticton","Baker","Bakery","Kelowna","Stores",52.99137493,3.964089468,140.9111414,"Stores",5.207050611
85,"Dyal","William","M","Victoria","Baker","Bakery","Victoria","Stores",34.3683369,3.301876593,31.69229831,"Stores",1.4972318
86,"Hayden","Kenneth","M","New Westminster","Baker","Bakery","New Westminster","Stores",48.6040848,5.149329545,12.68410865,"Stores",4.212160016
87,"Caban","Joshua","M","Vancouver","Accounts Payable Clerk","Accounts Payable","Vancouver","FinanceAndAccounting",35.6622,14.828331,54.30033232,"HeadOffice",0.71998759
88,"Knight","Mildred","F","Vancouver","Accounts Payable Clerk","Accounts Payable","Vancouver","FinanceAndAccounting",38.24006,19.641316,0,"HeadOffice",0.807874376
89,"Thurmond","Linda","F","Duncan","Baker","Bakery","Quesnel","Stores",46.47882196,7.837239767,103.3493697,"Stores",3.539660711
90,"Monroe","Terra","F","Kelowna","Baker","Bakery","Kelowna","Stores",27.91367155,4.983950436,0,"Stores",0.039089747
91,"Velez","Colleen","F","Good Hope Lake","Baker","Bakery","Terrace","Stores",38.74242382,4.569517999,49.84641191,"Stores",2.26831685
92,"Martin","Lisa","F","Vancouver","Accounts Payable Clerk","Accounts Payable","Vancouver","FinanceAndAccounting",41.49192,2.223785,58.28770605,"HeadOffice",3.036320136
93,"Godfrey","Ramon","M","Victoria","Baker","Bakery","Victoria","Stores",49.62992513,6.534431308,110.8124796,"Stores",4.294931798
94,"Jackson","Monica","F","Fort Fraser","Baker","Bakery","Prince George","Stores",53.18642804,6.333357014,158.6843997,"Stores",5.032936554
95,"Craig","Cristina","F","Victoria","Baker","Bakery","Victoria","Stores",38.91257982,5.677505826,73.47603875,"Stores",2.202870676
96,"Schooley","Daniel","M","Nelson","Baker","Bakery","Nelson","Stores",30.40947244,5.853084899,2.187241945,"Stores",0.465914265
97,"Wireman","Jacquie","F","New Westminster","Baker","Bakery","New Westminster","Stores",52.17022316,5.954787053,99.80856689,"Stores",4.861373878
98,"Tripp","Simone","F","Kamloops","Baker","Bakery","Kamloops","Stores",40.46457145,2.914256944,34.77626973,"Stores",2.766125198
99,"Cousins","Jessica","F","Kaslo","Baker","Bakery","Cranbrook","Stores",27.67920383,5.850275414,0,"Stores",-0.086470483
100,"Drake","Mildred","F","Burnaby","Baker","Bakery","Burnaby","Stores",47.54737692,8.40795942,81.7411048,"Stores",3.704496902
101,"Gilreath","Mary","F","Victoria","Baker","Bakery","Victoria","Stores",40.23785234,6.28876626,51.75805976,"Stores",2.416014631
102,"Lundin","Edwina","F","New Westminster","Baker","Bakery","New Westminster","Stores",50.02908732,3.992767917,121.0074252,"Stores",4.604863816
103,"Gleason","Esther","F","Vancouver","Accounts Payable Clerk","Accounts Payable","Vancouver","FinanceAndAccounting",44.74006,17.587192,48.37309828,"HeadOffice",2.308733889
104,"Sharma","Donald","M","Nanaimo","Baker","Bakery","Nanaimo","Stores",56.82635616,3.020945438,137.4598877,"Stores",6.068321949
105,"Hash","Yvonne","F","Victoria","Baker","Bakery","Victoria","Stores",45.00105092,5.03442867,98.5576777,"Stores",3.49322276
106,"Harris","Arnold","M","Creston","Baker","Bakery","Cranbrook","Stores",30.6692902,3.920694436,0,"Stores",0.69271396
107,"Massey","Christie","F","Wynndel","Baker","Bakery","Cranbrook","Stores",47.08440537,5.834791047,44.00185941,"Stores",3.842763301
108,"Webber","Hobert","M","Muncho Lake","Baker","Bakery","Fort St John","Stores",28.86599272,5.51966396,0,"Stores",0.183554755
109,"Edmondson","Cynthia","F","Burnaby","Baker","Bakery","Burnaby","Stores",38.38317605,5.934654158,39.10172396,"Stores",2.072530684
110,"Paschall","Marjorie","F","Muncho Lake","Baker","Bakery","Fort St John","Stores",51.43589901,6.505354659,138.9330403,"Stores",4.663103183
111,"Johnson","Dexter","M","New Westminster","Baker","Bakery","New Westminster","Stores",47.58616386,5.74303968,63.03007856,"Stores",3.952596641
112,"Fox","Keith","M","Creston","Baker","Bakery","Cranbrook","Stores",51.28113997,6.319611026,98.3228922,"Stores",4.648523386
113,"Kamen","Alan","M","Kitimat","Baker","Bakery","Terrace","Stores",40.04622933,2.733551364,56.30433228,"Stores",2.697738937
114,"Ogden","Nancy","F","Lac La Hache","Baker","Bakery","Williams Lake","Stores",38.49357924,6.272417507,25.46792975,"Stores",2.064427406
115,"Ervin","Patricia","F","Armstrong","Baker","Bakery","Vernon","Stores",48.5184211,4.813679718,96.88371667,"Stores",4.225080315
116,"Clark","Pauline","F","Victoria","Baker","Bakery","Victoria","Stores",51.24461391,4.450234407,118.490501,"Stores",4.809658809
117,"Andrews","Debra","F","New Westminster","Baker","Bakery","New Westminster","Stores",41.32982676,7.277340487,34.02042059,"Stores",2.547920614
118,"Calderon","Sybil","F","Aldergrove","Baker","Bakery","Aldergrove","Stores",37.92447866,7.283404129,72.79408579,"Stores",1.858092015
119,"Torres","Lee","M","Vancouver","Accounts Payable Clerk","Accounts Payable","Vancouver","FinanceAndAccounting",34.17869,4.616228,0,"HeadOffice",1.340353183
120,"Ward","James","M","Abbotsford","Baker","Bakery","Abbotsford","Stores",33.75941298,8.100916929,0,"Stores",0.941333709
121,"Browning","Christiane","F","Duncan","Baker","Bakery","Quesnel","Stores",59.57572963,7.547789836,153.2632323,"Stores",6.216721303
122,"Wurth","William","M","Duncan","Baker","Bakery","Quesnel","Stores",24.94839693,6.192754104,0,"Stores",-0.670092732
123,"Prescott","Wesley","M","Quesnel","Baker","Bakery","Quesnel","Stores",44.20353674,8.921398042,53.84737103,"Stores",2.981377166
124,"Dunham","Ligia","F","Hixon","Baker","Bakery","Prince George","Stores",53.64638663,5.990343166,113.9617749,"Stores",5.156961016
125,"Garrett","Steve","M","Fauquier","Baker","Bakery","Trail","Stores",46.82458879,4.39067547,79.10668824,"Stores",3.920363845
126,"Alexander","Tyrone","M","Surrey","Baker","Bakery","Surrey","Stores",36.53798668,6.764585657,29.98231177,"Stores",1.624222671
127,"Cheek","Mary","F","Wynndel","Baker","Bakery","Cranbrook","Stores",38.84977345,2.976125041,68.40403177,"Stores",2.433693801
128,"Ackerman","Carrie","F","Vancouver","Accounts Payable Clerk","Accounts Payable","Vancouver","FinanceAndAccounting",44.2858,22.122314,30.99399888,"HeadOffice",1.807934431
129,"Johnson","Patricia","F","Ocean Falls","Baker","Bakery","Ocean Falls","Stores",25.36946429,4.769958819,0,"Stores",-0.456595458
130,"Haley","Carey","M","West Vancouver","Baker","Bakery","West Vancouver","Stores",46.92597301,7.680159831,40.05948151,"Stores",3.644330397
131,"Hall","Maria","F","Vallican","Baker","Bakery","Trail","Stores",33.63626674,4.122804778,49.65651125,"Stores",1.275043694
132,"Bunch","Terra","F","North Pender Island","Baker","Bakery","Victoria","Stores",40.38889368,4.731981529,94.2773662,"Stores",2.586934972
133,"Martin","Terry","M","Victoria","Baker","Bakery","Victoria","Stores",36.69832217,2.881003024,58.09452779,"Stores",2.006790586
134,"Bass","Brian","M","Montney","Baker","Bakery","Fort St John","Stores",50.71959048,5.205191727,62.16083824,"Stores",4.635326791
135,"Wagner","Robert","M","Vancouver","Accounts Payable Clerk","Accounts Payable","Vancouver","FinanceAndAccounting",55.67226,18.149135,30.45802032,"HeadOffice",4.47087746
136,"McBride","Joanne","F","Ganges","Baker","Bakery","Victoria","Stores",45.00556211,4.729336444,90.81179196,"Stores",3.521640662
137,"Johnson","Paul","M","Vancouver","Accounts Receiveable Clerk","Accounts Receiveable","Vancouver","FinanceAndAccounting",37.480086,19.480086,37.1157124,"HeadOffice",0.668582091
138,"Cook","Anthony","M","Vancouver","Accounts Receiveable Clerk","Accounts Receiveable","Vancouver","FinanceAndAccounting",56.76305,12.44132,0,"HeadOffice",5.206239018
139,"Loch","Dean","M","North Vancouver","Baker","Bakery","North Vancouver","Stores",44.1563698,6.174066619,63.18923992,"Stores",3.219508451
140,"Defoor","James","M","Prince George","Baker","Bakery","Prince George","Stores",57.55995386,5.927399666,101.9347516,"Stores",5.954786914
141,"Wadlington","Arthur","M","Burns Lake","Baker","Bakery","Prince George","Stores",44.12316447,3.480452998,45.48992662,"Stores",3.455622941
142,"Harte","Vanessa","F","Midway","Baker","Bakery","Trail","Stores",51.35361623,4.006138301,124.2025327,"Stores",4.871758456
143,"Galindo","Zachary","M","Victoria","Baker","Bakery","Victoria","Stores",50.47613903,5.687620059,56.92397595,"Stores",4.54255734
144,"Reardon","Kenneth","M","Vancouver","Accounts Receiveable Clerk","Accounts Receiveable","Vancouver","FinanceAndAccounting",40.73937,17.8497,0,"HeadOffice",1.475282121
145,"Flores","Doris","F","Vancouver","Accounts Receiveable Clerk","Accounts Receiveable","Vancouver","FinanceAndAccounting",45.10973,12.954267,111.7755846,"HeadOffice",2.801228523
146,"Busch","Alice","F","Vancouver","Accounts Receiveable Clerk","Accounts Receiveable","Vancouver","FinanceAndAccounting",36.4939,14.707758,0,"HeadOffice",0.899203256
147,"Phillips","Alfredo","M","Westwold","Baker","Bakery","Vernon","Stores",62.44050167,4.439750719,96.260697,"Stores",7.076781458
148,"Lopez","Christopher","M","Victoria","Baker","Bakery","Victoria","Stores",48.87764919,4.44226196,58.15296878,"Stores",4.331276435
149,"Fernandez","Emma","F","Vancouver","Accounts Receiveable Clerk","Accounts Receiveable","Vancouver","FinanceAndAccounting",35.6622,6.689747,40.14572515,"HeadOffice",1.453700172
150,"Westling","Sharonda","F","Vananda","Baker","Bakery","Nanaimo","Stores",38.85526055,8.02162411,92.24730012,"Stores",1.979940788
151,"Pelletier","Ronald","M","Terrace","Baker","Bakery","Terrace","Stores",58.89963249,6.586855486,116.0821581,"Stores",6.166501904
152,"Chacon","William","M","Vancouver","Accounts Receiveable Clerk","Accounts Receiveable","Vancouver","FinanceAndAccounting",38.24006,3.759389,24.50390384,"HeadOffice",2.239667631
153,"Petty","Leland","M","New Westminster","Baker","Bakery","New Westminster","Stores",38.97420752,3.519988839,17.06972082,"Stores",2.409850093
154,"Whitmire","Ernestine","F","Vancouver","Accounts Receiveable Clerk","Accounts Receiveable","Vancouver","FinanceAndAccounting",41.49192,7.408469,90.16966119,"HeadOffice",2.56890862
155,"Rivers","Matthew","M","Victoria","Baker","Bakery","Victoria","Stores",50.07042916,7.154288207,46.52578004,"Stores",4.328213357
156,"Meyers","Kim","F","Golden","Baker","Bakery","Cranbrook","Stores",56.93339775,5.507594802,156.6886593,"Stores",5.865811091
157,"Hebert","Sheree","F","Port Coquitlam","Baker","Bakery","Port Coquitlam","Stores",28.38177556,6.882383018,14.38568387,"Stores",-0.037308757
158,"Jacques","Pearl","F","Vernon","Baker","Bakery","Vernon","Stores",52.85696413,3.856147379,113.2580344,"Stores",5.189575541
159,"Valdez","Gabriela","F","Hixon","Baker","Bakery","Prince George","Stores",62.3978081,3.771944271,159.968214,"Stores",7.128344114
161,"Carbone","Edith","F","Vancouver","Accounts Receiveable Clerk","Accounts Receiveable","Vancouver","FinanceAndAccounting",44.74006,24.746003,0,"HeadOffice",1.663350159
162,"Hernandez","Leonard","M","New Westminster","Baker","Bakery","New Westminster","Stores",41.45052007,4.839194051,79.12363725,"Stores",2.792155003
163,"Campbell","Frank","M","White Rock","Baker","Bakery","White Rock","Stores",58.35063799,7.032330926,154.2577252,"Stores",6.015218386
164,"Raley","Charlie","M","Aldergrove","Baker","Bakery","Aldergrove","Stores",32.38918207,5.08229079,0,"Stores",0.936119363
165,"Rayfield","Robert","M","Vancouver","Accounts Receiveable Clerk","Accounts Receiveable","Vancouver","FinanceAndAccounting",36.80744,18.80744,0,"HeadOffice",0.593071366
166,"Shea","Melinda","F","Richmond","Baker","Bakery","Richmond","Stores",53.1325405,7.524270599,88.45913805,"Stores",4.914665417
167,"Coleman","David","M","Muncho Lake","Baker","Bakery","Fort St John","Stores",31.55156977,5.994952013,0,"Stores",0.684298353
168,"Haynes","Patrick","M","Whistler","Baker","Bakery","Squamish","Stores",55.55066069,6.582832837,95.49894843,"Stores",5.488993825
169,"Bonilla","Frederick","M","Surrey","Baker","Bakery","Surrey","Stores",50.85965201,4.415872649,120.0797189,"Stores",4.734835849
170,"Tobin","Sonia","F","Vancouver","Accounts Receiveable Clerk","Accounts Receiveable","Vancouver","FinanceAndAccounting",44.2858,14.56324,0,"HeadOffice",2.489402817
171,"Wood","Denise","F","Logan Lake","Baker","Bakery","Kamloops","Stores",31.04004847,6.287380572,0,"Stores",0.554397384
172,"Guajardo","Cynthia","F","Summerland","Baker","Bakery","Kelowna","Stores",43.51405735,1.696873054,82.89702302,"Stores",3.493126544
173,"Marshall","Caroline","F","Victoria","Baker","Bakery","Victoria","Stores",50.27493559,6.039542872,121.3682638,"Stores",4.470104757
174,"Ray","James","M","Prince George","Baker","Bakery","Prince George","Stores",39.15800998,4.999675679,34.20118293,"Stores",2.313656577
175,"Baum","Stephanie","F","Vancouver","Auditor","Audit","Vancouver","FinanceAndAccounting",46.5594,15.410268,69.47820963,"HeadOffice",2.873244248
176,"Dubin","Joesph","M","Kelowna","Baker","Bakery","Kelowna","Stores",45.0545011,5.48261494,56.19587246,"Stores",3.463636645
177,"Giles","Sarah","F","New Westminster","Baker","Bakery","New Westminster","Stores",44.53401993,5.978325753,61.49474478,"Stores",3.313595719
178,"Layman","Angelica","F","Victoria","Baker","Bakery","Victoria","Stores",43.63644281,6.982794346,60.09046813,"Stores",3.041360483
179,"Martin","Michaela","F","Victoria","Baker","Bakery","Victoria","Stores",45.24521906,1.840480646,66.31549844,"Stores",3.830587186
180,"Williams","Michael","M","North Vancouver","Baker","Bakery","North Vancouver","Stores",46.94124227,4.842333733,71.55570239,"Stores",3.903257802
181,"Hoyt","Arnold","M","West Vancouver","Baker","Bakery","West Vancouver","Stores",38.99890445,7.982080942,33.94380532,"Stores",2.012580889
182,"Belliveau","Tina","F","Victoria","Baker","Bakery","Victoria","Stores",34.403431,4.959062909,46.92397933,"Stores",1.35493599
183,"Hoffman","Marvin","M","Langley","Baker","Bakery","Langley","Stores",41.34235317,4.204713851,40.23300149,"Stores",2.827460658
184,"Slavin","Paul","M","Port Coquitlam","Baker","Bakery","Port Coquitlam","Stores",38.80852455,5.947165495,29.16170217,"Stores",2.157498227
185,"Rosenfeld","Mary","F","Victoria","Baker","Bakery","Victoria","Stores",43.31715261,3.048207893,44.15691237,"Stores",3.331444711
186,"Bryan","Larry","M","Vancouver","Auditor","Audit","Vancouver","FinanceAndAccounting",46.01263,13.688114,47.51121024,"HeadOffice",2.917827912
187,"Hines","Oswaldo","M","Kamloops","Baker","Bakery","Kamloops","Stores",35.28047515,5.044062622,0,"Stores",1.524796972
188,"Finley","Anna","F","Vancouver","Auditor","Audit","Vancouver","FinanceAndAccounting",50.14973,2,121.7851932,"HeadOffice",4.808936031
189,"McCaffery","Francis","M","Victoria","Baker","Bakery","Victoria","Stores",36.36492589,6.028810793,31.13908709,"Stores",1.655525003
190,"Ditch","Diana","F","New Westminster","Baker","Bakery","New Westminster","Stores",54.64586019,6.138841132,79.22102251,"Stores",5.345878612
191,"Foster","Bonnie","F","Vancouver","Auditor","Audit","Vancouver","FinanceAndAccounting",44.934345,26.934345,38.55781831,"HeadOffice",1.505391492
192,"Mitchell","Mary","F","Chilliwack","Baker","Bakery","Chilliwack","Stores",20.19153395,5.47318993,0,"Stores",-1.568066553
193,"Peterson","Brenda","F","Huntingdon","Baker","Bakery","Abbotsford","Stores",47.68367521,6.312088904,44.74428082,"Stores",3.921032937
194,"Stokley","George","M","Nelson","Baker","Bakery","Nelson","Stores",45.60240143,5.41770495,93.42104381,"Stores",3.580389814
195,"Hauser","Harold","M","Burnaby","Baker","Bakery","Burnaby","Stores",49.76869491,6.696230561,96.65594514,"Stores",4.308433825
196,"Russell","James","M","Nanaimo","Baker","Bakery","Nanaimo","Stores",51.76459344,2.265974742,71.73266923,"Stores",5.111824867
197,"Mott","Daniel","M","Yale","Baker","Bakery","Chilliwack","Stores",60.01548877,4.241373868,109.2478897,"Stores",6.603814866
198,"Fernandez","Michael","M","Aiyansh","Baker","Bakery","Terrace","Stores",36.98656738,5.453742125,12.57657646,"Stores",1.833196249
199,"Burton","Norman","M","Richmond","Baker","Bakery","Richmond","Stores",52.39517039,4.682661001,34.0739579,"Stores",5.021590976
200,"Forrest","Tamara","F","Penticton","Baker","Bakery","Kelowna","Stores",58.43314763,6.885415633,154.8111128,"Stores",6.045164055
